episode,timestep,return,length,epsilon,loss,mean_q
94,54676,-217.0,217,0.05,0.014269371517002583,-35.84585952758789
95,54798,-122.0,122,0.05,0.008142655715346336,-36.21028137207031
96,54939,-141.0,141,0.05,21.277549743652344,-36.289756774902344
97,55098,-159.0,159,0.05,0.05597975105047226,-37.0081787109375
98,55271,-173.0,173,0.05,0.04838342219591141,-34.6689453125
99,55525,-254.0,254,0.05,0.18441250920295715,-38.04749298095703
100,55735,-210.0,210,0.05,0.02197515405714512,-37.908782958984375
101,55915,-180.0,180,0.05,0.1353885531425476,-38.324737548828125
102,56088,-173.0,173,0.05,0.0785566121339798,-36.73841094970703
103,56251,-163.0,163,0.05,0.0715106874704361,-37.671844482421875
104,56374,-123.0,123,0.05,0.08890772610902786,-38.848487854003906
105,56550,-176.0,176,0.05,0.010543474927544594,-37.663795471191406
106,56689,-139.0,139,0.05,0.07218413054943085,-36.768768310546875
107,56788,-99.0,99,0.05,0.05017251521348953,-38.3958740234375
108,56912,-124.0,124,0.05,0.028587356209754944,-37.19380187988281
109,57100,-188.0,188,0.05,0.019584182649850845,-37.96928024291992
110,57223,-123.0,123,0.05,0.014922426082193851,-38.756431579589844
111,57379,-156.0,156,0.05,0.08647795766592026,-38.00128173828125
112,57539,-160.0,160,0.05,0.005774360150098801,-38.31660842895508
113,57660,-121.0,121,0.05,0.02005084976553917,-37.77553176879883
114,57786,-126.0,126,0.05,0.004048690665513277,-39.387935638427734
115,57952,-166.0,166,0.05,0.012665828689932823,-38.434471130371094
116,58136,-184.0,184,0.05,0.05145471543073654,-38.249298095703125
117,58306,-170.0,170,0.05,0.0683547705411911,-36.847267150878906
118,58490,-184.0,184,0.05,0.018014803528785706,-39.38138198852539
119,58674,-184.0,184,0.05,0.02554352395236492,-39.102325439453125
120,58858,-184.0,184,0.05,0.11502102017402649,-35.303192138671875
121,59047,-189.0,189,0.05,0.03806036710739136,-38.449127197265625
122,59212,-165.0,165,0.05,0.02157294750213623,-36.932228088378906
123,59377,-165.0,165,0.05,0.02525641769170761,-39.47820281982422
124,59539,-162.0,162,0.05,0.03641176223754883,-38.6009407043457
125,59687,-148.0,148,0.05,0.20260536670684814,-39.336700439453125
126,59867,-180.0,180,0.05,0.06286589801311493,-38.59202575683594
127,60033,-166.0,166,0.05,0.012887214310467243,-40.330230712890625
128,60161,-128.0,128,0.05,0.0327567383646965,-38.75309753417969
129,60336,-175.0,175,0.05,0.013787433505058289,-38.37368392944336
130,60507,-171.0,171,0.05,0.10854613780975342,-37.37648010253906
131,60597,-90.0,90,0.05,0.047741472721099854,-38.62331008911133
132,60772,-175.0,175,0.05,0.04282332956790924,-37.647796630859375
133,60954,-182.0,182,0.05,0.033226802945137024,-38.43918991088867
134,61132,-178.0,178,0.05,0.012793123722076416,-39.8654899597168
135,61302,-170.0,170,0.05,0.02529578097164631,-39.08786392211914
136,61427,-125.0,125,0.05,0.008326603099703789,-40.028846740722656
137,61596,-169.0,169,0.05,0.026680413633584976,-38.69186782836914
138,61783,-187.0,187,0.05,0.11680395156145096,-39.707916259765625
139,61901,-118.0,118,0.05,0.03169830143451691,-38.35608673095703
140,62076,-175.0,175,0.05,0.052677713334560394,-38.732391357421875
141,62239,-163.0,163,0.05,0.0835372805595398,-38.7957763671875
142,62358,-119.0,119,0.05,0.01811368018388748,-38.9846076965332
